City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Gurugram,2020-03-05,32.0,57.05,6.49,28.84,24.71,39.69,1.16,4.8,51.61,2.2,5.04,10.64,104,Moderate
Gurugram,2020-03-06,19.52,32.59,6.56,27.15,24.08,41.15,1.06,12.3,47.23,2.42,3.46,10.96,95,Satisfactory
Gurugram,2020-03-07,35.82,67.45,10.48,27.52,26.92,39.4,0.97,16.04,38.14,2.99,3.93,13.59,79,Satisfactory
Gurugram,2020-03-08,56.58,107.07,31.82,28.16,45.99,33.94,0.97,17.83,35.2,3.84,3.98,15.62,115,Moderate
Gurugram,2020-03-09,62.38,112.32,6.75,23.13,22.26,34.01,0.77,15.82,42.54,3.09,3.41,12.4,117,Moderate
Gurugram,2020-03-10,75.88,144.37,6.63,25.83,23.64,29.39,0.92,16.29,53.14,3.42,3.7,12.84,160,Moderate
Gurugram,2020-03-11,52.61,100.26,4.09,25.06,20.72,32.17,0.89,14.62,58.4,3.26,3.43,12.11,114,Moderate
Gurugram,2020-03-12,50.17,139.66,8.29,30.02,24.22,38.11,0.88,13.28,40.31,3.22,3.17,9.96,115,Moderate
Gurugram,2020-03-13,60.57,182.58,13.32,30.6,30.07,32.89,0.84,12.68,40.26,2.45,3.18,7.03,134,Moderate
Gurugram,2020-03-14,43.92,99.84,6.43,25.9,18.59,31.5,0.82,14.36,38.98,2.3,3.81,5.5,118,Moderate
Gurugram,2020-03-15,57.48,137.62,9.08,27.24,24.04,28.03,0.97,15.87,50.33,3.73,6.15,13.09,119,Moderate
Gurugram,2020-03-16,73.26,152.93,7.21,24.94,21.39,45.16,1.06,15.9,47.56,4.43,7.67,20.66,155,Moderate
Gurugram,2020-03-17,76.84,169.8,8.85,25.66,22.97,62.83,1.18,19.73,52.03,5.44,7.61,26.17,181,Moderate
Gurugram,2020-03-18,84.93,191.47,19.96,30.5,35.47,54.53,1.28,19.43,46.04,5.44,7.4,21.43,178,Moderate
Gurugram,2020-03-19,80.27,200.51,24.1,28.31,36.81,51.6,1.23,19.95,50.39,6.14,7.35,19.57,175,Moderate
Gurugram,2020-03-20,85.31,183.37,18.22,18.07,26.78,57.77,1.11,15.81,60.03,5.44,7.15,16.96,176,Moderate
Gurugram,2020-03-21,58.09,129.3,13.97,16.63,21.9,74.89,0.88,16.66,57.23,4.52,7.96,17.23,154,Moderate
Gurugram,2020-03-22,85.87,150.43,15.15,19.83,25.12,62.06,1.13,17.25,55.11,5.94,8.08,18.46,168,Moderate
Gurugram,2020-03-23,51.38,103.56,7.66,15.96,16.31,56.53,0.81,18.26,50.47,4.55,8.08,18.57,124,Moderate
Gurugram,2020-03-24,61.21,113.66,8.08,17.61,17.3,54.29,0.97,16.44,43.6,5.08,7.77,17.87,122,Moderate
Gurugram,2020-03-25,31.83,60.71,8.13,15.06,15.59,54.02,0.75,16.27,38.79,4.41,7.7,17.55,86,Satisfactory
Gurugram,2020-03-26,31.27,65.28,6.32,15.96,11.76,52.39,0.56,16.42,36.85,3.86,7.44,17.47,65,Satisfactory
Gurugram,2020-03-27,20.82,41.61,5.31,14.19,9.72,48.2,0.54,15.31,38.52,3.51,7.01,15.13,59,Satisfactory
Gurugram,2020-03-28,17.59,35.7,5.82,14.65,10.57,48.37,0.49,14.77,42.37,3.27,6.73,14.13,62,Satisfactory
Gurugram,2020-03-29,23.65,56.89,5.3,13.75,10.04,45.05,0.5,18.73,54.46,3.44,7.07,16.16,68,Satisfactory
Gurugram,2020-03-30,32.0,57.58,4.84,12.76,8.93,42.26,0.55,18.56,58.39,3.7,7.13,16.34,80,Satisfactory
Gurugram,2020-03-31,30.71,57.22,5.26,13.39,9.79,40.83,0.52,17.01,63.43,3.72,6.99,15.32,80,Satisfactory
Gurugram,2020-04-01,27.84,55.37,6.31,14.94,10.74,38.89,0.55,15.91,54.79,2.84,5.23,9.78,81,Satisfactory
Gurugram,2020-04-02,28.93,59.79,12.23,16.0,10.82,40.42,0.52,15.97,61.46,1.68,2.74,2.54,81,Satisfactory
Gurugram,2020-04-03,27.11,48.38,5.33,12.75,9.72,37.53,0.47,15.3,66.52,1.62,2.69,2.45,95,Satisfactory
Gurugram,2020-04-04,34.18,61.47,5.55,12.52,9.22,35.59,0.52,14.86,58.64,1.77,2.69,2.48,93,Satisfactory
Gurugram,2020-04-05,49.7,87.4,7.51,15.9,12.04,36.33,0.69,15.2,53.97,2.06,2.74,2.7,99,Satisfactory
Gurugram,2020-04-06,52.7,94.54,5.54,14.5,10.57,36.91,0.65,15.57,54.3,2.06,2.77,2.73,106,Moderate
Gurugram,2020-04-07,31.8,86.25,5.26,11.95,8.78,35.85,0.43,14.66,61.31,1.67,2.69,2.4,94,Satisfactory
Gurugram,2020-04-08,28.04,79.84,5.04,10.94,8.45,34.39,0.42,14.11,62.85,1.63,2.67,2.25,96,Satisfactory
Gurugram,2020-04-09,31.68,68.97,4.98,12.14,9.19,33.63,0.47,14.14,67.87,1.74,2.66,2.32,101,Moderate
Gurugram,2020-04-10,49.34,96.26,8.54,18.33,13.59,33.84,0.68,14.23,50.44,2.55,2.71,2.57,105,Moderate
Gurugram,2020-04-11,51.41,103.83,10.44,18.3,15.15,34.72,0.81,14.52,60.63,2.21,2.78,2.75,127,Moderate
Gurugram,2020-04-12,32.16,68.78,5.49,16.41,10.09,35.82,0.6,14.0,67.11,1.75,2.73,2.49,107,Moderate
Gurugram,2020-04-13,53.33,121.47,6.16,17.19,11.64,34.84,0.76,13.83,53.63,2.18,2.75,2.58,114,Moderate
